kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing,koi_period_log,koi_depth_log,koi_prad_log,koi_srad_log
K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,5455.0,4.467,0.927,15.347,0,0,0,0,0,2.3502351379506896,6.4245448222491195,1.1817271953786161,0.6559643894322293
K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,5455.0,4.467,0.927,15.347,0,0,0,0,0,4.014911356403454,6.775137754367298,1.3428648031925547,0.6559643894322293
K00753.01,CANDIDATE,19.89913995,1.7822,10829.0,14.6,5853.0,4.544,0.868,15.436,0,0,0,0,0,3.039708007406348,9.290075339995036,2.747270914255491,0.6248683398066509
K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,5805.0,4.564,0.791,15.597,0,0,0,0,0,1.0068450579675678,8.997171903684052,3.5397992310997837,0.5827741230785748
K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,6031.0,4.438,1.046,15.509,0,0,0,0,0,1.2600483021739617,6.404070763367513,1.3217558399823195,0.7158866675294348
K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,6046.0,4.486,0.972,15.714,0,0,0,0,0,2.492735965551391,7.325478284485803,1.589235205116581,0.6790482561804436
K00756.02,CONFIRMED,4.13443512,3.1402,686.0,2.77,6046.0,4.486,0.972,15.714,0,0,0,0,0,1.6359698314871762,6.532334292222349,1.3270750014599193,0.6790482561804436
K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,6046.0,4.486,0.972,15.714,0,0,0,0,0,1.2716096684503242,5.427150238391005,0.9516578757114464,0.6790482561804436
K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,6227.0,3.986,1.958,12.66,0,0,0,0,0,2.123672468781356,5.458308102856978,3.6941157209091826,1.084513364288608
K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,5031.0,4.485,0.848,15.841,0,0,0,0,0,2.8372432565694368,8.500108068358424,1.9110228900548727,0.6141039732194924
K00001.01,CONFIRMED,2.470613377,1.74319,14231.0,13.04,5820.0,4.457,0.964,11.338,0,0,0,0,0,1.244331344043603,9.563248229345671,2.641910398597665,0.6749832099322741
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,6440.0,4.019,1.952,10.463,0,0,0,0,0,1.1646295337668027,8.806229346683947,2.8390784635086144,1.082482906738226
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,6225.0,4.169,1.451,13.563,0,0,0,0,0,1.509064590913013,9.12114843747994,2.7466296830696852,0.8964961045459756
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,5833.0,4.407,1.022,12.772,0,0,0,0,0,1.549521037205953,4.883559211528279,0.7701082216960736,0.7040871205982797
K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.0,150.51,5795.0,4.554,0.848,15.472,0,0,0,0,0,2.527442859321793,9.797293356129725,5.020651629371744,0.6141039732194924
