tfopwg_disp,dec,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,st_tmag,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,disp_3class,log_orbper,sqrt_pl_rade,log_trandep,rel_radius,depth_norm,compactness
FP,-12.69596,0.085,-0.085,0.072,-0.072,0.001657,-0.001657,2.1713484,0.0002637,-0.0002637,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,1.9105465,-1.9105465,9.604,0.013,-0.013,11.9515,-11.9515,10249.0,264.7,-264.7,4.19,0.07,-0.07,2.16986,0.0725729,-0.0725729,False,1.1541568602241148,2.412086918002749,20.303021197492683,2.6813542348354273,302.7320190703548,1.0006859428718904
PC,-5.513852,0.102,-0.102,0.072,-0.072,0.001916,-0.001916,1.9316462,5.3e-06,-5.3e-06,0.647,-0.647,1286.0,1186.49,-1186.49,11.2154,2.6242,-2.6242,9.42344,0.006,-0.006,5.91,-5.91,7070.0,126.4,-126.4,4.03,0.09,-0.09,2.01,0.09,-0.09,Candidate,1.0755641082577023,3.34894013084737,20.974802463539444,5.579800995024876,639.8009950248756,0.9610180099502489
FP,-10.580455,0.206,-0.206,0.206,-0.206,0.000625,-0.000625,1.8675574,3e-06,-3e-06,0.184,-0.184,1500.0,1.7584,-1.7584,23.7529,,,9.299501,0.058,-0.058,106.333,-106.333,8924.0,124.0,-124.0,,,,5.73,,,False,1.0534605872578342,4.873694697044533,21.12873094572124,4.145357766143106,261.78010471204186,0.3259262478184991
FP,-25.207017,0.041,-0.041,0.055,-0.055,0.00535,-0.00535,2.74323,0.00108,-0.00108,0.642,-0.642,383.41,0.781988,-0.781988,,,,9.3003,0.037,-0.037,1899.57,-1899.57,5388.5,567.0,-567.0,4.15,1.64,-1.64,,,,False,1.319948875070773,,19.7646154732643,,,
FP,-48.802811,0.069,-0.069,0.062,-0.062,0.003748,-0.003748,3.5730141,1.28e-05,-1.28e-05,1.029,-1.029,755.0,1306.55,-1306.55,11.3113,3.24714,-3.24714,9.1355,0.006,-0.006,4.6175,-4.6175,9219.0,171.1,-171.1,4.14,0.07,-0.07,2.15,0.06,-0.06,False,1.5201725279862752,3.363227616442277,20.442228308537803,5.26106976744186,351.16279069767444,1.661867023255814
FP,-11.101521,1.935,-1.935,2.06,-2.06,0.000581,-0.000581,4.5505945,3.1e-06,-3.1e-06,0.339,-0.339,3731.0,123.723,-123.723,7.10841,0.474611,-0.474611,9.1309,0.006,-0.006,14.121,-14.121,5613.0,179.9,-179.9,,,,1.09,0.07,-0.07,False,1.7139050391388315,2.666160160230439,22.039942131453458,6.521477064220183,3422.9357798165133,4.174857339449541
FP,-27.273521,2.6,-2.6,2.2,-2.2,0.002159,-0.002159,2.5047918,0.0004076,-0.0004076,0.1036554,-0.1036554,2270.5402194,81.38088,-81.38088,8.6950898,8.438766,-8.438766,9.2386,0.006,-0.006,,,6616.0,200.0,-200.0,,,,1.53429,1.4887,-1.4887,False,1.2541311178663326,2.948743766419863,21.543283622681432,5.66717491478143,1479.8637932854936,1.6325413057505427
PC,-4.463359,0.058,-0.058,0.045,-0.045,0.0013,-0.0013,6.9989206,1.37e-05,-1.37e-05,0.437,-0.437,2840.0,0.943618,-0.943618,14.7752,0.764705,-0.764705,8.87759,0.006,-0.006,3.0025,-3.0025,6596.0,139.2,-139.2,3.71,0.09,-0.09,2.7,0.13,-0.13,Candidate,2.079306607576639,3.8438522344127644,21.76706988947164,5.472296296296296,1051.8518518518517,2.5921928148148146
FP,13.395219,1.1,-1.1,1.0,-1.0,0.002805,-0.002805,2.0483755,5.5e-06,-5.5e-06,0.861,-0.861,483.0,41.94,-41.94,3.19621,,,8.9362,0.012,-0.012,,,6858.5,584.6,-584.6,4.2,1.9,-1.9,1.57,,,False,1.1146088257745106,1.787794730946481,19.99552721368724,2.0358025477707007,307.6433121019108,1.3046977707006369
PC,-24.462111,0.319,-0.319,0.358,-0.358,0.000389,-0.000389,1.9600277,2.5e-06,-2.5e-06,0.050591,-0.050591,1707.6272693,49.601223,-49.601223,,,,8.4331,0.028,-0.028,172.097,-172.097,8868.7,809.8,-809.8,,,,,,,Candidate,1.0851986264002902,,21.258370682678397,,,
